buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
160000;2218;Vilnius, Pašilaičiai, Pavilnionių g.;72.14;3
995000;10160;Vilnius, Šnipiškės, Olimpiečių g.;97.93;3
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
73000;2808;Kaunas, Žaliakalnis, Žalioji g.;26;2
77000;2406;Kaunas, Žaliakalnis, Mituvos g.;32;2
75900;3148;Vilnius, Naujamiestis, T. Ševčenkos g.;24.11;2
145000;2599;Kaunas, Kalniečiai, Kalniečių g.;55.8;2
150000;2921;Vilnius, Pašilaičiai, Dociškių g.;51.36;2
215000;4285;Klaipėda, Centras, Bijūnų g.;50.18;2
88000;2350;Klaipėda, Šauliai, Ragainės g.;37.44;2
315000;4011;Vilnius, Baltupiai, Kazio Ulvydo g.;78.53;3
38940;1770;Palanga, Šventoji, Mėguvos g.;22;1
182117;4137;Vilnius, Naujamiestis, Skroblų g.;44.02;2
164692;2440;Vilnius, Bajorai, Salaspilio g.;67.5;3
307000;2488;Klaipėda, Centras, Žiedų skg.;123.37;4
135000;2213;Palanga, Palanga, Saulėlydžio g.;61;2
252000;3652;Palanga, Palanga, Sermiesčio g.;69;3
319968;3325;Vilnius, Santariškės, M. Bukšos g.;96.22;4
280000;5477;Vilnius, Žirmūnai, Raitininkų g.;51.12;2
160000;2218;Vilnius, Pašilaičiai, Pavilnionių g.;72.14;3
995000;10160;Vilnius, Šnipiškės, Olimpiečių g.;97.93;3
146000;2764;Vilnius, Lazdynėliai, Lazdynėlių g.;52.82;3
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
73000;2808;Kaunas, Žaliakalnis, Žalioji g.;26;2
77000;2406;Kaunas, Žaliakalnis, Mituvos g.;32;2
75900;3148;Vilnius, Naujamiestis, T. Ševčenkos g.;24.11;2
145000;2599;Kaunas, Kalniečiai, Kalniečių g.;55.8;2
150000;2921;Vilnius, Pašilaičiai, Dociškių g.;51.36;2
215000;4285;Klaipėda, Centras, Bijūnų g.;50.18;2
88000;2350;Klaipėda, Šauliai, Ragainės g.;37.44;2
315000;4011;Vilnius, Baltupiai, Kazio Ulvydo g.;78.53;3
38940;1770;Palanga, Šventoji, Mėguvos g.;22;1
182117;4137;Vilnius, Naujamiestis, Skroblų g.;44.02;2
164692;2440;Vilnius, Bajorai, Salaspilio g.;67.5;3
307000;2488;Klaipėda, Centras, Žiedų skg.;123.37;4
135000;2213;Palanga, Palanga, Saulėlydžio g.;61;2
252000;3652;Palanga, Palanga, Sermiesčio g.;69;3
319968;3325;Vilnius, Santariškės, M. Bukšos g.;96.22;4
280000;5477;Vilnius, Žirmūnai, Raitininkų g.;51.12;2
160000;2218;Vilnius, Pašilaičiai, Pavilnionių g.;72.14;3
995000;10160;Vilnius, Šnipiškės, Olimpiečių g.;97.93;3
146000;2764;Vilnius, Lazdynėliai, Lazdynėlių g.;52.82;3
118000;2687;Vilnius, Pilaitė, M. Mažvydo g.;43.91;2
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
73000;2808;Kaunas, Žaliakalnis, Žalioji g.;26;2
77000;2406;Kaunas, Žaliakalnis, Mituvos g.;32;2
75900;3148;Vilnius, Naujamiestis, T. Ševčenkos g.;24.11;2
145000;2599;Kaunas, Kalniečiai, Kalniečių g.;55.8;2
150000;2921;Vilnius, Pašilaičiai, Dociškių g.;51.36;2
215000;4285;Klaipėda, Centras, Bijūnų g.;50.18;2
88000;2350;Klaipėda, Šauliai, Ragainės g.;37.44;2
315000;4011;Vilnius, Baltupiai, Kazio Ulvydo g.;78.53;3
38940;1770;Palanga, Šventoji, Mėguvos g.;22;1
182117;4137;Vilnius, Naujamiestis, Skroblų g.;44.02;2
164692;2440;Vilnius, Bajorai, Salaspilio g.;67.5;3
307000;2488;Klaipėda, Centras, Žiedų skg.;123.37;4
135000;2213;Palanga, Palanga, Saulėlydžio g.;61;2
252000;3652;Palanga, Palanga, Sermiesčio g.;69;3
319968;3325;Vilnius, Santariškės, M. Bukšos g.;96.22;4
280000;5477;Vilnius, Žirmūnai, Raitininkų g.;51.12;2
160000;2218;Vilnius, Pašilaičiai, Pavilnionių g.;72.14;3
995000;10160;Vilnius, Šnipiškės, Olimpiečių g.;97.93;3
146000;2764;Vilnius, Lazdynėliai, Lazdynėlių g.;52.82;3
118000;2687;Vilnius, Pilaitė, M. Mažvydo g.;43.91;2
830000;5804;Vilnius, Senamiestis, Gedimino pr.;143;3
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
73000;2808;Kaunas, Žaliakalnis, Žalioji g.;26;2
77000;2406;Kaunas, Žaliakalnis, Mituvos g.;32;2
75900;3148;Vilnius, Naujamiestis, T. Ševčenkos g.;24.11;2
145000;2599;Kaunas, Kalniečiai, Kalniečių g.;55.8;2
150000;2921;Vilnius, Pašilaičiai, Dociškių g.;51.36;2
215000;4285;Klaipėda, Centras, Bijūnų g.;50.18;2
88000;2350;Klaipėda, Šauliai, Ragainės g.;37.44;2
315000;4011;Vilnius, Baltupiai, Kazio Ulvydo g.;78.53;3
38940;1770;Palanga, Šventoji, Mėguvos g.;22;1
182117;4137;Vilnius, Naujamiestis, Skroblų g.;44.02;2
164692;2440;Vilnius, Bajorai, Salaspilio g.;67.5;3
307000;2488;Klaipėda, Centras, Žiedų skg.;123.37;4
135000;2213;Palanga, Palanga, Saulėlydžio g.;61;2
252000;3652;Palanga, Palanga, Sermiesčio g.;69;3
319968;3325;Vilnius, Santariškės, M. Bukšos g.;96.22;4
280000;5477;Vilnius, Žirmūnai, Raitininkų g.;51.12;2
160000;2218;Vilnius, Pašilaičiai, Pavilnionių g.;72.14;3
995000;10160;Vilnius, Šnipiškės, Olimpiečių g.;97.93;3
146000;2764;Vilnius, Lazdynėliai, Lazdynėlių g.;52.82;3
118000;2687;Vilnius, Pilaitė, M. Mažvydo g.;43.91;2
830000;5804;Vilnius, Senamiestis, Gedimino pr.;143;3
295000;3782;Vilnius, Karoliniškės, Igno Šimulionio g.;78.01;3
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
73000;2808;Kaunas, Žaliakalnis, Žalioji g.;26;2
77000;2406;Kaunas, Žaliakalnis, Mituvos g.;32;2
75900;3148;Vilnius, Naujamiestis, T. Ševčenkos g.;24.11;2
145000;2599;Kaunas, Kalniečiai, Kalniečių g.;55.8;2
150000;2921;Vilnius, Pašilaičiai, Dociškių g.;51.36;2
215000;4285;Klaipėda, Centras, Bijūnų g.;50.18;2
88000;2350;Klaipėda, Šauliai, Ragainės g.;37.44;2
315000;4011;Vilnius, Baltupiai, Kazio Ulvydo g.;78.53;3
38940;1770;Palanga, Šventoji, Mėguvos g.;22;1
182117;4137;Vilnius, Naujamiestis, Skroblų g.;44.02;2
164692;2440;Vilnius, Bajorai, Salaspilio g.;67.5;3
307000;2488;Klaipėda, Centras, Žiedų skg.;123.37;4
135000;2213;Palanga, Palanga, Saulėlydžio g.;61;2
252000;3652;Palanga, Palanga, Sermiesčio g.;69;3
319968;3325;Vilnius, Santariškės, M. Bukšos g.;96.22;4
280000;5477;Vilnius, Žirmūnai, Raitininkų g.;51.12;2
160000;2218;Vilnius, Pašilaičiai, Pavilnionių g.;72.14;3
995000;10160;Vilnius, Šnipiškės, Olimpiečių g.;97.93;3
146000;2764;Vilnius, Lazdynėliai, Lazdynėlių g.;52.82;3
118000;2687;Vilnius, Pilaitė, M. Mažvydo g.;43.91;2
830000;5804;Vilnius, Senamiestis, Gedimino pr.;143;3
295000;3782;Vilnius, Karoliniškės, Igno Šimulionio g.;78.01;3
144999;2617;Kaunas, Dainava, Taikos pr.;55.4;3
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
73000;2808;Kaunas, Žaliakalnis, Žalioji g.;26;2
77000;2406;Kaunas, Žaliakalnis, Mituvos g.;32;2
75900;3148;Vilnius, Naujamiestis, T. Ševčenkos g.;24.11;2
145000;2599;Kaunas, Kalniečiai, Kalniečių g.;55.8;2
150000;2921;Vilnius, Pašilaičiai, Dociškių g.;51.36;2
215000;4285;Klaipėda, Centras, Bijūnų g.;50.18;2
88000;2350;Klaipėda, Šauliai, Ragainės g.;37.44;2
315000;4011;Vilnius, Baltupiai, Kazio Ulvydo g.;78.53;3
38940;1770;Palanga, Šventoji, Mėguvos g.;22;1
182117;4137;Vilnius, Naujamiestis, Skroblų g.;44.02;2
164692;2440;Vilnius, Bajorai, Salaspilio g.;67.5;3
307000;2488;Klaipėda, Centras, Žiedų skg.;123.37;4
135000;2213;Palanga, Palanga, Saulėlydžio g.;61;2
252000;3652;Palanga, Palanga, Sermiesčio g.;69;3
319968;3325;Vilnius, Santariškės, M. Bukšos g.;96.22;4
280000;5477;Vilnius, Žirmūnai, Raitininkų g.;51.12;2
160000;2218;Vilnius, Pašilaičiai, Pavilnionių g.;72.14;3
995000;10160;Vilnius, Šnipiškės, Olimpiečių g.;97.93;3
146000;2764;Vilnius, Lazdynėliai, Lazdynėlių g.;52.82;3
118000;2687;Vilnius, Pilaitė, M. Mažvydo g.;43.91;2
830000;5804;Vilnius, Senamiestis, Gedimino pr.;143;3
295000;3782;Vilnius, Karoliniškės, Igno Šimulionio g.;78.01;3
144999;2617;Kaunas, Dainava, Taikos pr.;55.4;3
125000;3000;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;41.67;2
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
73000;2808;Kaunas, Žaliakalnis, Žalioji g.;26;2
77000;2406;Kaunas, Žaliakalnis, Mituvos g.;32;2
75900;3148;Vilnius, Naujamiestis, T. Ševčenkos g.;24.11;2
145000;2599;Kaunas, Kalniečiai, Kalniečių g.;55.8;2
150000;2921;Vilnius, Pašilaičiai, Dociškių g.;51.36;2
215000;4285;Klaipėda, Centras, Bijūnų g.;50.18;2
88000;2350;Klaipėda, Šauliai, Ragainės g.;37.44;2
315000;4011;Vilnius, Baltupiai, Kazio Ulvydo g.;78.53;3
38940;1770;Palanga, Šventoji, Mėguvos g.;22;1
182117;4137;Vilnius, Naujamiestis, Skroblų g.;44.02;2
164692;2440;Vilnius, Bajorai, Salaspilio g.;67.5;3
307000;2488;Klaipėda, Centras, Žiedų skg.;123.37;4
135000;2213;Palanga, Palanga, Saulėlydžio g.;61;2
252000;3652;Palanga, Palanga, Sermiesčio g.;69;3
319968;3325;Vilnius, Santariškės, M. Bukšos g.;96.22;4
280000;5477;Vilnius, Žirmūnai, Raitininkų g.;51.12;2
160000;2218;Vilnius, Pašilaičiai, Pavilnionių g.;72.14;3
995000;10160;Vilnius, Šnipiškės, Olimpiečių g.;97.93;3
146000;2764;Vilnius, Lazdynėliai, Lazdynėlių g.;52.82;3
118000;2687;Vilnius, Pilaitė, M. Mažvydo g.;43.91;2
830000;5804;Vilnius, Senamiestis, Gedimino pr.;143;3
295000;3782;Vilnius, Karoliniškės, Igno Šimulionio g.;78.01;3
144999;2617;Kaunas, Dainava, Taikos pr.;55.4;3
125000;3000;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;41.67;2
219000;4844;Vilnius, Markučiai, Kaukysos g.;45.21;2
